z,D_C_Mpc,D_M_Mpc,D_A_Mpc,D_L_Mpc
0.05,219.7361930657231,219.7361930657231,209.2725648244982,230.7230027190093
0.05125,225.16107399234116,225.16107399234116,214.1841369725005,236.70057903444865
0.0525,230.58258572591717,230.58258572591717,219.0808415448144,242.6881714765278
0.05375,236.00072653973592,236.00072653973592,223.96272981232354,248.68576559124674
0.055,241.4154947228342,241.4154947228342,228.82985281785236,254.6933469325901
0.05625,246.8268885799848,246.8268885799848,233.68226137750042,260.7109010626089
0.0575,252.23490643167966,252.23490643167966,238.52000608196656,266.73841355150125
0.05875,257.63954661411327,257.63954661411327,243.34313729786376,272.7758699776925
0.06,263.04080747916595,263.04080747916595,248.15170516902447,278.8232559279159
0.06125,268.43868739438614,268.43868739438614,252.9457596177961,284.8805569972923
0.0625,273.83318474297346,273.83318474297346,257.72535034632796,290.9477587894093
0.06375,279.2242979237607,279.2242979237607,262.4905268378479,297.0248469164004
0.065,284.61202535119605,284.61202535119605,267.2413383579306,303.11180699902377
0.06625,289.9963654553251,289.9963654553251,271.97783395575624,309.2086246667403
0.0675,295.3773166817722,295.3773166817722,276.70006246536036,315.31528555779175
0.06875,300.7548774917222,300.7548774917222,281.40807250687453,321.4317753192781
0.07,306.1290463619014,306.1290463619014,286.1019124877583,327.55807960723445
0.07125,311.4998217845586,311.4998217845586,290.78163060402204,333.69418408670845
0.0725,316.867202267446,316.867202267446,295.44727484144147,339.84007443183583
0.07375,322.2311863337994,322.2311863337994,300.0988929767631,345.9957363259171
0.075,327.5917725223189,327.5917725223189,304.7365325789013,352.1611554614928
0.07625,332.94895938714876,332.94895938714876,309.36024101012663,358.33631754041886
0.0775,338.30274549785736,338.30274549785736,313.97006542724586,364.5212082739413
0.07875,343.6531294394167,343.6531294394167,318.5660527827733,370.7158133827708
0.08,349.00010981218225,349.00010981218225,323.1482498260946,376.92011859715683
0.08125,354.3436852318718,354.3436852318718,327.71670310462133,383.1341096569614
0.0825,359.68385432954466,359.68385432954466,332.2714589649373,389.35777231173205
0.08375,365.0206157515805,365.0206157515805,336.8125635539382,395.5910923207754
0.085,370.35396815965794,370.35396815965794,341.34006281996125,401.83405545322887
0.08625,375.6839102307329,375.6839102307329,345.85400251390837,408.0866474881337
0.0875,381.01044065701717,381.01044065701717,350.35442819036064,414.3488542145061
0.08875,386.3335581459558,386.3335581459558,354.841385208685,420.6206614314095
0.09,391.6532614202053,391.6532614202053,359.3149187341333,426.9020549480238
0.09125,396.9695492176113,396.9695492176113,363.7750737389336,433.19302058371835
0.0925,402.2824202911857,402.2824202911857,368.2218950033736,439.49354416812037
0.09375,407.59187340908414,407.59187340908414,372.6554271168769,445.8036115411858
0.095,412.89790735458297,412.89790735458297,377.0757144790712,452.1232085532684
0.09625,418.20052092605584,418.20052092605584,381.48280130084913,458.4523210651887
0.0975,423.49971293695063,423.49971293695063,385.87673160542204,464.79093494830335
0.09875,428.7954822157656,428.7954822157656,390.2575492293658,471.1390360845724
0.1,434.087827606026,434.087827606026,394.62529782366,477.49661036662866
0.10125,439.37674796626,439.37674796626,398.9800208547196,483.8636436978438
0.1025,444.66224216997415,444.66224216997415,403.3217616054187,490.2401219923965
0.10375,449.94430910562977,449.94430910562977,407.6505631761085,496.6260311753389
0.105,455.2229476766181,455.2229476766181,411.9664684856273,503.02135718266305
0.10625,460.49815680123544,460.49815680123544,416.2695202723032,509.42608596136665
