z,H_SI,H_km_s_Mpc
1.52375,5.23874369789244e-18,161.65073983765888
1.5250000000000001,5.242173713869747e-18,161.75657907171217
1.52625,5.2456048830889525e-18,161.86245389109226
1.5275,5.249037204971125e-18,161.96836427793505
1.52875,5.252470678938084e-18,162.07431021439987
1.53,5.255905304412407e-18,162.18029168266924
1.53125,5.259341080817421e-18,162.28630866494893
1.5325,5.262778007577212e-18,162.39236114346807
1.53375,5.2662160841166155e-18,162.49844910047895
1.5350000000000001,5.269655309861215e-18,162.60457251825696
1.5362500000000001,5.273095684237346e-18,162.7107313791006
1.5375,5.276537206672093e-18,162.81692566533158
1.53875,5.279979876593285e-18,162.92315535929455
1.54,5.283423693429498e-18,163.0294204433572
1.54125,5.2868686566100525e-18,163.1357208999102
1.5425,5.290314765565015e-18,163.24205671136724
1.54375,5.29376201972519e-18,163.34842786016478
1.545,5.297210418522125e-18,163.45483432876222
1.5462500000000001,5.300659961388109e-18,163.56127609964184
1.5475,5.304110647756166e-18,163.66775315530856
1.54875,5.307562477060062e-18,163.7742654782902
1.55,5.311015448734295e-18,163.88081305113727
1.55125,5.314469562214101e-18,163.98739585642292
1.5525,5.317924816935452e-18,164.09401387674305
1.55375,5.321381212335045e-18,164.200667094716
1.555,5.324838747850318e-18,164.30735549298288
1.5562500000000001,5.328297422919435e-18,164.41407905420726
1.5575,5.3317572369812876e-18,164.52083776107514
1.55875,5.3352181894754974e-18,164.62763159629503
1.56,5.3386802798424185e-18,164.7344605425981
1.56125,5.34214350752312e-18,164.84132458273749
1.5625,5.345607871959402e-18,164.948223699489
1.56375,5.3490733725937886e-18,165.0551578756507
1.565,5.352540008869527e-18,165.16212709404303
1.5662500000000001,5.3560077802305815e-18,165.26913133750847
1.5675000000000001,5.3594766861216385e-18,165.37617058891183
1.56875,5.362946725988106e-18,165.48324483114024
1.57,5.366417899276105e-18,165.59035404710275
1.57125,5.369890205432473e-18,165.69749821973053
1.5725,5.373363643904769e-18,165.80467733197708
1.57375,5.376838214141264e-18,165.91189136681777
1.575,5.380313915590939e-18,166.01914030724998
1.57625,5.383790747703484e-18,166.12642413629285
1.5775000000000001,5.3872687099293135e-18,166.233742836988
