m_GeV,fa_GeV,Gamma_GeV,tau_s,BR_gg,BR_aa,g_agg_GeV^-1,g_agamma_GeV^-1
1e-12,31622776601.683792,1.8219364386779832e-59,3.6127053772392065e+34,0.9999354803146008,6.451968539923757e-05,2.139796781834371e-11,4.861582441236412e-13
1e-12,42169650342.85822,1.024550151338762e-59,6.4243995868813815e+34,0.9999354803146007,6.451968539923758e-05,1.6046212158458188e-11,3.6456725208755295e-13
1e-12,56234132519.034904,5.761468898278122e-60,1.1424377507213721e+35,0.9999354803146008,6.451968539923758e-05,1.2032961579347844e-11,2.7338687125270166e-13
1e-12,74989420933.24559,3.239912055300699e-60,2.031573529358996e+35,0.9999354803146007,6.451968539923757e-05,9.02344820947287e-12,2.0501123165991856e-13
1e-12,100000000000.0,1.821936438677983e-60,3.612705377239207e+35,0.9999354803146008,6.451968539923757e-05,6.766631560495022e-12,1.5373673546988758e-13
1e-12,133352143216.3324,1.024550151338762e-60,6.424399586881382e+35,0.9999354803146008,6.451968539923759e-05,5.074257823901456e-12,1.1528628769054427e-13
1e-12,177827941003.89227,5.761468898278122e-61,1.1424377507213721e+36,0.9999354803146008,6.451968539923757e-05,3.8051565588036105e-12,8.645251955457473e-14
1e-12,237137370566.16553,3.239912055300699e-61,2.031573529358996e+36,0.9999354803146009,6.451968539923758e-05,2.853464869050242e-12,6.483024379617649e-14
1e-12,316227766016.83795,1.8219364386779824e-61,3.612705377239208e+36,0.9999354803146008,6.451968539923759e-05,2.1397967818343706e-12,4.861582441236412e-14
1e-12,421696503428.5823,1.024550151338762e-61,6.424399586881381e+36,0.9999354803146007,6.451968539923759e-05,1.604621215845819e-12,3.6456725208755295e-14
1e-12,562341325190.3491,5.761468898278118e-62,1.142437750721373e+37,0.9999354803146008,6.45196853992376e-05,1.203296157934784e-12,2.7338687125270162e-14
1e-12,749894209332.4558,3.2399120553007e-62,2.0315735293589952e+37,0.9999354803146007,6.451968539923757e-05,9.023448209472871e-13,2.050112316599186e-14
1e-12,1000000000000.0,1.8219364386779834e-62,3.612705377239206e+37,0.9999354803146007,6.451968539923755e-05,6.766631560495023e-13,1.5373673546988758e-14
1e-12,1333521432163.324,1.024550151338762e-62,6.424399586881381e+37,0.9999354803146008,6.451968539923758e-05,5.074257823901457e-13,1.1528628769054427e-14
1e-12,1778279410038.9229,5.761468898278122e-63,1.142437750721372e+38,0.9999354803146007,6.451968539923757e-05,3.8051565588036103e-13,8.645251955457473e-15
1e-12,2371373705661.6553,3.2399120553007006e-63,2.031573529358995e+38,0.9999354803146007,6.451968539923755e-05,2.853464869050242e-13,6.4830243796176496e-15
1e-12,3162277660168.3794,1.821936438677983e-63,3.612705377239207e+38,0.9999354803146008,6.451968539923757e-05,2.1397967818343708e-13,4.861582441236412e-15
1e-12,4216965034285.8223,1.0245501513387619e-63,6.424399586881382e+38,0.9999354803146008,6.451968539923759e-05,1.604621215845819e-13,3.64567252087553e-15
1e-12,5623413251903.491,5.761468898278122e-64,1.1424377507213722e+39,0.9999354803146008,6.451968539923757e-05,1.2032961579347843e-13,2.733868712527016e-15
