z,H_GeV,E,DL_GeV^-1,DA_GeV^-1,chi_GeV^-1
0.855,2.3610047674340118e-42,1.9841589469356378,8.773774215623916e+41,2.549756022006209e+41,4.729797420821518e+41
0.87,2.3824479304840413e-42,2.0021795136041907,8.962990894473518e+41,2.5631247374741966e+41,4.793043259076748e+41
0.885,2.4040420794969223e-42,2.020326966991985,9.153032992144252e+41,2.575979002777548e+41,4.855720420235678e+41
0.9,2.4257859059574342e-42,2.0386002074391567,9.343886828084647e+41,2.5883343014084896e+41,4.91783517267613e+41
0.915,2.4476781202747095e-42,2.056998151189632,9.53553903979023e+41,2.6002056159058226e+41,4.97939375445965e+41
0.93,2.4697174517274055e-42,2.0755197303450488,9.727976575034392e+41,2.611607445846705e+41,5.04040237048414e+41
0.945,2.4919026483883255e-42,2.0941638928014137,9.921186684231821e+41,2.622553825108695e+41,5.100867189836412e+41
0.96,2.5142324770301686e-42,2.11292960216989,1.0115156912938256e+42,2.633058338436656e+41,5.160794343335845e+41
0.975,2.5367057230139882e-42,2.1318158376830616,1.03098750944896e+42,2.6431341373471175e+41,5.220189921260557e+41
0.99,2.5593211901618612e-42,2.150821594087929,1.0505329342782866e+42,2.6527939554008398e+41,5.279059971247672e+41
1.005,2.5820777006151764e-42,2.1699458815268113,1.0701508045200879e+42,2.6620501228725888e+41,5.3374104963595405e+41
1.02,2.604974094679866e-42,2.1891877254072845,1.0898399855682094e+42,2.6709145808455283e+41,5.395247453307967e+41
1.035,2.6280092306598337e-42,2.208546166262195,1.1095993687936505e+42,2.6793988947561424e+41,5.452576750828749e+41
1.05,2.6511819846797457e-42,2.228020259600734,1.1294278708808128e+42,2.6875142674141888e+41,5.509404248199087e+41
1.065,2.6744912504982852e-42,2.2476090757515044,1.1493244331784185e+42,2.6952715515208942e+41,5.565735753890646e+41
1.08,2.697935939312901e-42,2.267311699698426,1.169288021065076e+42,2.7026812617073686e+41,5.6215770243513265e+41
1.095,2.7215149795570118e-42,2.2871272309103152,1.1893176233294401e+42,2.709753586114092e+41,5.676933762909022e+41
1.11,2.7452273166905643e-42,2.3070547831648693,1.2094122515648823e+42,2.7164983975312378e+41,5.731811618790912e+41
1.125,2.7690719129847914e-42,2.32709348436778,1.2295709395785623e+42,2.7229252641186155e+41,5.786216186252058e+41
1.14,2.7930477473019443e-42,2.347242476367626,1.249792742814771e+42,2.7290434597230568e+41,5.840153003807342e+41
1.155,2.8171538148707378e-42,2.367500914767155,1.270076737792395e+42,2.7348619738102075e+41,5.8936275535609975e+41
1.17,2.8413891270581778e-42,2.3878679687315354,1.290422021556327e+42,2.7403895210268366e+41,5.946645260628235e+41
1.185,2.8657527111384086e-42,2.4083428207940947,1.3108277111426461e+42,2.745634550409011e+41,5.999211492643689e+41
1.2,2.8902436100591564e-42,2.428924666660044,1.33129294305736e+42,2.750605254250744e+41,6.051331559351637e+41
1.215,2.914860882206316e-42,2.449612715008638,1.3518168727685044e+42,2.7553095766470238e+41,6.103010712273158e+41
1.23,2.939603601167178e-42,2.470406187294196,1.3723986742113751e+42,2.759755221724497e+41,6.154254144445628e+41
1.245,2.964470855492758e-42,2.491304317546363,1.3930375393066645e+42,2.7639496615724418e+41,6.205066990230132e+41
1.26,2.9894617484596535e-42,2.512306352169981,1.413732677491265e+42,2.767900143886101e+41,6.2554543251825884e+41
1.275,3.014575397831823e-42,2.533411549744889,1.4344833152614948e+42,2.771613699333887e+41,6.305421165984593e+41
1.29,3.039810935622638e-42,2.554619180825955,1.4552886957285014e+42,2.7750971486594486e+41,6.354972470430137e+41
1.305,3.065167507857555e-42,2.575928527743627,1.4761480781855872e+42,2.7783571095291052e+41,6.404113137464587e+41
1.32,3.0906442743376845e-42,2.597338884405244,1.4970607376872077e+42,2.7814000031346752e+41,6.452848007272447e+41
1.335,3.1162404084045596e-42,2.618849556097343,1.5180259646393805e+42,2.7842320605612946e+41,6.501181861410623e+41
1.35,3.141955096706328e-42,2.6404598592891766,1.5390430644012557e+42,2.78685932892939e+41,6.549119422984067e+41
1.365,3.167787538965616e-42,2.662169121437627,1.560111356897583e+42,2.789287677319584e+41,6.5966653568608155e+41
1.38,3.1937369477492624e-42,2.6839766807936885,1.5812301762418236e+42,2.7915228024889195e+41,6.643824269923629e+41
1.395,3.2198025482401e-42,2.7058818862106833,1.6023988703696508e+42,2.793570234386445e+41,6.690600711355536e+41
1.41,3.2459835780109676e-42,2.7278840969543374,1.623616800682583e+42,2.7954353414758407e+41,6.736999172956776e+41
1.425,3.27227928680109e-42,2.7499826825148572,1.6448833417014994e+42,2.7971233358724617e+41,6.7830240894907195e+41
1.44,3.2986889362949604e-42,2.772177022421103,1.6661978807297877e+42,2.798639278301847e+41,6.8286798390565075e+41
1.455,3.32521179990385e-42,2.7944665060569727,1.6875598175258776e+42,2.7999880828864616e+41,6.873970743486263e+41
1.47,3.351847162550039e-42,2.8168505324800743,1.7089685639849158e+42,2.8011745217671426e+41,6.9189010687648416e+41
1.485,3.37859432045387e-42,2.839328510242764,1.7304235438293443e+42,2.8022032295654725e+41,6.963475025470199e+41
1.5,3.405452580923689e-42,2.86189985721562,1.7519241923081425e+42,2.803078707693028e+41,7.00769676923257e+41
1.515,3.432421262148758e-42,2.884564000413404,1.7734699559045028e+42,2.8038053285132192e+41,7.051570401210746e+41
1.53,3.459499692995177e-42,2.907320375823562,1.795060292051712e+42,2.8043873393612024e+41,7.095099968583843e+41
1.545,3.486687212804882e-42,2.930168428237299,1.816694668857012e+42,2.8048288664271208e+41,7.138289465057022e+41
1.56,3.513983171197741e-42,2.953107611083268,1.838372564833221e+42,2.8051339185077222e+41,7.181142831379769e+41
1.575,3.541386927876787e-42,2.9761373862638876,1.860093468637899e+42,2.8053063906311983e+41,7.223663955875336e+41
1.59,3.568897852436607e-42,2.9992572239943147,1.8818568788198507e+42,2.8053500675598913e+41,7.265856674980119e+41
1.605,3.596515324174907e-42,3.022466602644086,1.9036623035727524e+42,2.805268627175338e+41,7.307724773791755e+41
1.62,3.624238731907255e-42,3.04576500858143,1.9255092604957067e+42,2.805065643749937e+41,7.349271986624835e+41
1.635,3.652067473785008e-42,3.0691519360202575,1.947397276360528e+42,2.804744591109359e+41,7.39050199757316e+41
1.65,3.6800009571164254e-42,3.092626886869826,1.969325886885561e+42,2.804308845689656e+41,7.431418441077588e+41
1.665,3.7080385981909597e-42,3.1161893705870733,1.9912946365158522e+42,2.8037616894928735e+41,7.472024902498509e+41
1.68,3.7361798221067034e-42,3.13983890403161,2.0133030782094855e+42,2.8031063129448174e+41,7.51232491869211e+41
1.695,3.7644240626009923e-42,3.16357501132336,2.0353507732299032e+42,2.802345817658487e+41,7.552321978589622e+41
