z,H_km_s_Mpc,D_C_Mpc,D_M_Mpc,D_A_Mpc,D_L_Mpc,mu_mag
1.7592,182.196077572,4936.99421789,4936.99421789,1789.28465421,13622.154446,45.6712289997
1.7604,182.303837582,4938.96816063,4938.96816063,1789.2219101,13633.5277106,45.673041226
1.7616,182.411627631,4940.94093676,4940.94093676,1789.15879807,13644.9024909,45.6748521823
1.7628,182.519447707,4942.91254732,4942.91254732,1789.09531899,13656.2787857,45.6766618704
1.764,182.627297797,4944.88299337,4944.88299337,1789.03147372,13667.6565937,45.678470292
1.7652,182.73517789,4946.85227595,4946.85227595,1788.96726311,13679.0359135,45.6802774488
1.7664,182.843087972,4948.82039613,4948.82039613,1788.90268802,13690.4167439,45.6820833425
1.7676,182.951028031,4950.78735495,4950.78735495,1788.8377493,13701.7990836,45.6838879747
1.7688,183.058998056,4952.75315345,4952.75315345,1788.77244779,13713.1829313,45.6856913473
1.77,183.166998033,4954.71779269,4954.71779269,1788.70678437,13724.5682858,45.6874934618
1.7712,183.27502795,4956.68127371,4956.68127371,1788.64075985,13735.9551457,45.6892943199
1.7724,183.383087795,4958.64359755,4958.64359755,1788.57437511,13747.3435098,45.6910939234
1.7736,183.491177556,4960.60476526,4960.60476526,1788.50763097,13758.7333769,45.6928922739
1.7748,183.59929722,4962.56477787,4962.56477787,1788.44052828,13770.1247456,45.6946893731
1.776,183.707446774,4964.52363644,4964.52363644,1788.37306788,13781.5176147,45.6964852226
1.7772,183.815626208,4966.48134199,4966.48134199,1788.30525061,13792.911983,45.6982798242
1.7784,183.923835508,4968.43789557,4968.43789557,1788.2370773,13804.3078491,45.7000731795
1.7796,184.032074662,4970.39329822,4970.39329822,1788.16854879,13815.7052117,45.7018652902
1.7808,184.140343658,4972.34755097,4972.34755097,1788.09966591,13827.1040697,45.7036561579
1.782,184.248642484,4974.30065486,4974.30065486,1788.0304295,13838.5044218,45.7054457843
1.7832,184.356971128,4976.25261092,4976.25261092,1787.96084037,13849.9062667,45.707234171
1.7844,184.465329577,4978.20342019,4978.20342019,1787.89089936,13861.3096032,45.7090213197
1.7856,184.573717819,4980.15308369,4980.15308369,1787.8206073,13872.7144299,45.710807232
1.7868,184.682135842,4982.10160246,4982.10160246,1787.749965,13884.1207457,45.7125919097
1.788,184.790583634,4984.04897752,4984.04897752,1787.67897329,13895.5285493,45.7143753542
1.7892,184.899061183,4985.99520991,4985.99520991,1787.60763298,13906.9378395,45.7161575674
1.7904,185.007568476,4987.94030066,4987.94030066,1787.5359449,13918.348615,45.7179385507
1.7916,185.116105502,4989.88425078,4989.88425078,1787.46390986,13929.7608745,45.7197183058
1.7928,185.224672249,4991.8270613,4991.8270613,1787.39152868,13941.1746168,45.7214968344
1.794,185.333268704,4993.76873326,4993.76873326,1787.31880217,13952.5898407,45.7232741381
1.7952,185.441894855,4995.70926766,4995.70926766,1787.24573113,13964.006545,45.7250502185
1.7964,185.55055069,4997.64866554,4997.64866554,1787.17231638,13975.4247283,45.7268250772
1.7976,185.659236198,4999.58692791,4999.58692791,1787.09855873,13986.8443895,45.7285987158
1.7988,185.767951366,5001.52405579,5001.52405579,1787.02445898,13998.2655273,45.730371136
1.8,185.876696182,5003.4600502,5003.4600502,1786.95001793,14009.6881406,45.7321423394
1.8012,185.985470634,5005.39491216,5005.39491216,1786.87523638,14021.1122279,45.7339123275
1.8024,186.094274711,5007.32864268,5007.32864268,1786.80011514,14032.5377883,45.735681102
1.8036,186.2031084,5009.26124278,5009.26124278,1786.72465501,14043.9648203,45.7374486645
1.8048,186.311971689,5011.19271348,5011.19271348,1786.64885677,14055.3933228,45.7392150165
1.806,186.420864567,5013.12305578,5013.12305578,1786.57272123,14066.8232945,45.7409801597
1.8072,186.529787021,5015.0522707,5015.0522707,1786.49624918,14078.2547343,45.7427440957
1.8084,186.63873904,5016.98035924,5016.98035924,1786.41944141,14089.6876409,45.744506826
1.8096,186.747720612,5018.90732242,5018.90732242,1786.3422987,14101.1220131,45.7462683522
1.8108,186.856731724,5020.83316125,5020.83316125,1786.26482185,14112.5578496,45.7480286759
1.812,186.965772366,5022.75787673,5022.75787673,1786.18701164,14123.9951494,45.7497877987
